date,open,high,low,close,volume
2000-01-03,6772.59,6802.98,6554.99,6579.57,148847493
2000-01-04,6516.8,6666.49,6457.75,6610.91,54265799
2000-01-05,6536.3,6587.47,6420.27,6425.96,76687537
2000-01-06,6459.27,6580.33,6413.97,6537.3,87338124
2000-01-07,6585.85,6666.09,6322.95,6390.84,95667651
2000-01-10,6356.77,6430.32,6235.8,6248.19,100992979
2000-01-11,6187.71,6375.18,6112.2,6316.72,147942942
2000-01-12,6310.57,6398.12,6158.39,6168.52,89349722
2000-01-13,6217.29,6342.87,6162.13,6261.5,144566031
2000-01-14,6196.81,6330.04,6105.19,6256.77,81244663
2000-01-17,6311.8,6356.46,6187.48,6266.41,71831063
2000-01-18,6246.88,6274.19,6051.57,6138.0,136977837
2000-01-19,6074.87,6174.56,6050.26,6124.06,112043515
2000-01-20,6106.35,6347.17,6053.98,6285.7,141887369
2000-01-21,6259.19,6368.29,6181.48,6359.96,92339391
2000-01-24,6344.87,6432.05,6125.81,6179.72,146356822
2000-01-25,6152.24,6248.34,6067.57,6209.61,111586053
2000-01-26,6156.39,6225.97,5973.19,6023.28,128461803
2000-01-27,6012.93,6077.81,5922.97,6043.07,68566572
2000-01-28,6044.45,6051.6,5883.76,5896.08,134214382
2000-01-31,5847.97,5965.37,5812.42,5911.3,129978790
2000-02-01,5981.68,6079.5,5904.03,5992.13,51540956
2000-02-02,6018.06,6098.28,5811.93,5878.88,136028436
2000-02-03,5856.33,5872.69,5780.6,5783.77,146917555
2000-02-04,5835.94,5881.22,5735.31,5753.09,64282218
2000-02-07,5804.25,5860.93,5680.56,5734.06,70513739
2000-02-08,5716.71,5798.6,5522.91,5600.62,50076758
2000-02-09,5613.92,5625.83,5577.75,5610.08,91273847
2000-02-10,5575.0,5623.65,5479.31,5488.32,148234974
2000-02-11,5486.47,5549.73,5282.64,5344.66,67232410
2000-02-14,5365.15,5524.94,5321.42,5509.0,131415657
2000-02-15,5498.84,5544.59,5343.86,5403.75,76998038
2000-02-16,5431.37,5486.98,5366.52,5398.45,119467853
2000-02-17,5392.17,5399.87,5306.33,5310.61,124346088
2000-02-18,5276.21,5284.28,5137.57,5187.64,80728046
2000-02-21,5133.78,5160.94,4949.75,4989.44,87376585
2000-02-22,5009.67,5021.79,4854.53,4923.78,126644106
2000-02-23,4932.78,4969.08,4825.63,4856.72,62660194
2000-02-24,4809.74,4841.68,4755.01,4789.84,147854904
2000-02-25,4738.59,4829.42,4732.06,4782.22,147739173
2000-02-28,4763.78,4887.13,4748.25,4867.15,110211891
2000-02-29,4825.12,4859.9,4671.1,4733.49,60117988
2000-03-01,4727.03,4870.47,4721.2,4829.51,122556484
2000-03-02,4868.46,5075.2,4806.12,5005.46,72321899
2000-03-03,4994.22,5059.33,4920.86,4988.63,72097220
2000-03-06,4974.14,5141.22,4915.1,5118.98,111070189
2000-03-07,5092.6,5209.82,5032.2,5152.67,138834863
2000-03-08,5179.68,5204.55,4998.61,5072.39,127736262
2000-03-09,5101.09,5126.84,4960.62,4966.72,113993471
2000-03-10,4967.06,5086.29,4895.37,5072.17,60752378
2000-03-13,5114.94,5122.54,4917.77,4982.52,104193837
2000-03-14,4937.07,5073.25,4892.04,5052.68,133131979
2000-03-15,5001.99,5093.13,4976.55,5049.22,84999379
2000-03-16,5013.38,5098.53,4982.11,5078.42,140152735
2000-03-17,5096.15,5167.35,5011.56,5083.07,51250299
2000-03-20,5077.98,5308.0,5070.05,5229.85,78609087
2000-03-21,5230.59,5259.67,5107.58,5115.24,82787299
2000-03-22,5099.22,5163.42,4941.06,4994.51,132097999
2000-03-23,5052.51,5187.64,5001.05,5145.61,124437458
2000-03-24,5120.83,5244.02,5108.3,5171.03,65492573
2000-03-27,5219.4,5309.9,5195.46,5295.31,78270233
2000-03-28,5322.97,5374.58,5205.68,5228.3,115569635
2000-03-29,5197.07,5330.93,5146.68,5324.35,87135391
2000-03-30,5266.09,5278.71,5136.82,5213.5,71687165
2000-03-31,5243.68,5295.19,5240.33,5259.94,60099059
2000-04-03,5316.13,5391.36,5310.69,5377.05,99555330
2000-04-04,5387.7,5400.35,5247.73,5273.94,55354599
2000-04-05,5324.44,5346.37,5221.4,5231.82,125146293
2000-04-06,5280.05,5330.21,5236.0,5250.39,81774346
2000-04-07,5296.33,5514.43,5226.0,5447.66,53326769
2000-04-10,5405.74,5609.08,5370.77,5543.42,139913412
2000-04-11,5591.86,5721.0,5525.22,5696.12,64508349
2000-04-12,5680.06,5721.67,5504.11,5522.86,111780854
2000-04-13,5502.93,5682.43,5482.39,5608.76,138588154
2000-04-14,5567.45,5640.02,5430.08,5510.09,87463522
2000-04-17,5490.4,5550.37,5420.49,5493.5,94446182
2000-04-18,5551.41,5632.3,5406.53,5423.29,85630292
2000-04-19,5363.19,5424.0,5299.35,5394.26,108571795
2000-04-20,5408.01,5444.65,5360.09,5411.72,84188276
2000-04-21,5352.54,5395.57,5266.99,5332.01,142188405
2000-04-24,5360.09,5493.5,5329.1,5437.9,59391725
